timestamp,location-long,location-lat,tag-local-identifier
2014-08-15 05:56:00,-88.14601429999999,17.5130487,30448
2014-09-01 05:59:00,-85.24350059999999,13.0957817,30448
2014-10-30 23:58:00,-62.9060891,-7.852436099999999,30448
2014-11-15 04:59:00,-61.77682579999999,-11.7238981,30448
2014-11-30 09:59:00,-61.241538299999995,-11.612236900000001,30448
2014-12-15 15:00:00,-61.6485299,-11.3724075,30448
2014-12-30 19:59:00,-61.8251127,-10.459245300000001,30448
2015-01-15 00:59:00,-58.779585399999995,-3.8742402,30448
2015-01-30 05:59:00,-59.2148917,-3.3275919000000003,30448
2015-02-14 10:59:00,-59.500590700000004,-3.9180502,30448
2014-08-15 04:57:00,-96.8203911,20.297542800000002,30445
2014-08-31 05:00:00,-80.0932855,8.7418414,30445
2014-10-30 23:59:00,-56.3792622,-9.4768678,30445
2014-11-15 05:00:00,-56.379350699999996,-9.475591699999999,30445
2014-11-30 09:59:00,-52.066631799999996,-6.892987299999999,30445
2014-12-15 15:00:00,-51.9059734,-2.8468786,30445
2014-12-30 20:00:00,-53.94906339999999,-2.4005497000000005,30445
2015-01-15 01:00:00,-52.0242689,-2.7130331,30445
2015-01-30 06:00:00,-54.0878041,-1.7428749,30445
2015-03-01 16:00:00,-53.9745426,-2.3559899,30445
2014-07-15 05:55:00,-87.4677647,19.698833,30384
2014-11-14 14:55:00,-49.0815527,-2.5277187999999997,30384
2014-11-29 20:00:00,-48.793630900000004,-5.2740108,30384
2014-12-15 00:59:00,-49.4603851,-2.2751994,30384
2014-12-30 05:59:00,-49.460324799999995,-2.2754336,30384
2015-01-14 10:59:00,-51.851263200000005,-2.9056982999999996,30384
2014-07-15 04:56:00,-82.72467440000001,28.871304100000003,30380
2014-07-31 04:59:00,-83.30546640000001,14.7731462,30380
2014-09-29 23:57:00,-64.3045502,-10.184890199999998,30380
2014-10-15 04:59:00,-65.28775110000001,-13.123197699999999,30380
2014-10-30 09:59:00,-65.2338138,-13.124173999999998,30380
2014-11-14 15:00:00,-64.2770468,-12.872855099999999,30380
2014-12-15 00:59:00,-64.068774,-13.114285999999998,30380
2014-12-30 05:59:00,-65.2601281,-12.6013546,30380
2015-01-14 10:59:00,-60.4512775,-2.9169112999999998,30380
2015-01-29 16:00:00,-63.9874441,-2.932504,30380
2014-08-31 03:58:00,-92.91447,29.8441347,30304
2014-10-31 03:58:00,-63.289357499999994,-5.7152381,30304
2014-11-15 03:59:00,-62.9064528,-7.8521689,30304
2014-11-30 03:59:00,-62.9063265,-7.8521229,30304
2014-12-15 03:59:00,-56.3791932,-9.476926800000001,30304
2014-12-30 03:59:00,-52.7104061,-5.594559200000001,30304
2015-01-14 03:59:00,-52.5528468,-5.8587003,30304
2015-01-29 03:59:00,-51.99945220000001,-6.7965580999999995,30304
2015-02-13 03:59:00,-52.5543886,-5.857190599999999,30304
2015-02-28 03:59:00,-52.555034400000004,-5.8564828,30304
2014-07-15 04:57:00,-80.3103606,25.9254455,30198
2014-07-31 05:00:00,-88.1460802,17.513373899999998,30198
2014-09-29 23:58:00,-57.116261,-2.9109844,30198
2014-10-15 05:00:00,-57.1159014,-2.9110172999999997,30198
2014-12-15 00:58:00,-56.66903249999999,-2.2629147,30198
2014-12-30 06:00:00,-56.0854958,-1.3420151000000002,30198
2015-01-14 10:59:00,-57.4641684,-2.7761655,30198
